SERIALNUMBER,ProductNAME,CATEGORY,Description,IMAGE,FABRIC,SIZE,COLOUR,ProductID,PRICE,WEBSITENAME
pants180621162,Men Rolled Hem Wash Destroyed Jeans,Men Jeans,Fit Type:Regular|Style:Casual|Pant Type:Straight Leg|Closure Type:Button Fly|Waist Type:Low Waist|Pant Length:Long|Fabric:Fabric has some stretch|Season:Summer|Decoration:Ripped,https://img.ltwebstatic.com/origin/images2_pi/2018/06/20/15294760652933550656.jpg,Denim,"28,29,30,31,32,33,34",Blue,pants180621162,2072,https://www.shein.in/Men-Rolled-Hem-Wash-Destroyed-Jeans-p-515000-cat-1989.html
pants180618162,Men Rolled Hem Destroyed Jeans,Men Jeans,Fit Type:Skinny|Style:Casual|Pant Type:Straight Leg|Closure Type:Zipper Fly|Waist Type:Low Waist|Pant Length:Long|Fabric:Fabric has some stretch|Season:Summer|Decoration:Ripped,https://img.ltwebstatic.com/origin/images2_pi/2018/06/15/15290463843608040626.jpg,Denim,"28,29,30,31,32,33,34",Blue,pants180618162,2368,https://www.shein.in/Men-Rolled-Hem-Destroyed-Jeans-p-512804-cat-1989.html
pants180618161,Men Letter Print Jeans,Men Jeans,Fit Type:Skinny|Style:Casual|Pattern Type:Letter|Pant Type:Straight Leg|Closure Type:Zipper Fly|Waist Type:Low Waist|Pant Length:Long|Fabric:Fabric has some stretch|Season:Summer,https://img.ltwebstatic.com/origin/images2_pi/2018/06/15/15290463821871163613.jpg,Denim,"28,29,30,31,32,33,34",Black,pants180618161,2294,https://www.shein.in/Men-Letter-Print-Jeans-p-512802-cat-1989.html
pants180625165,Men Rolled Hem Destroyed Jeans,Men Jeans,Fit Type:Skinny|Style:Casual|Closure Type:Button Fly|Waist Type:Low Waist|Pant Length:Long|Fabric:Fabric has no stretch|Decoration:Ripped,https://img.ltwebstatic.com/origin/images2_pi/2018/06/22/15296384563983166846.jpg,Denim,"28,29,30,31,32,33,34",Blue,pants180625165,2368,https://www.shein.in/Men-Rolled-Hem-Destroyed-Jeans-p-517721-cat-1989.html
pants180625162,Men Paint Splatter Destroyed Jeans,Men Jeans,Fit Type:Skinny|Style:Casual|Closure Type:Button Fly|Waist Type:Low Waist|Pant Length:Long|Fabric:Fabric has no stretch|Decoration:Ripped,https://img.ltwebstatic.com/origin/images2_pi/2018/06/22/15296384481872255866.jpg,Denim,"28,29,30,31,32,33,34",Blue,pants180625162,1850,https://www.shein.in/Men-Paint-Splatter-Destroyed-Jeans-p-517726-cat-1989.html
pants180625164,Men Paint Splatter Patched Jeans,Men Jeans,"Fit Type:Skinny|Style:Casual|Closure Type:Button Fly|Waist Type:Low Waist|Pant Length:Long|Fabric:Fabric has no stretch|Decoration:Patched,Ripped",https://img.ltwebstatic.com/origin/images2_pi/2018/08/27/15353483102787175099.jpg,Denim,"29,30,31,32,33,34,36,38,40,42",Blue,pants180625164,2072,https://www.shein.in/Men-Paint-Splatter-Patched-Jeans-p-517724-cat-1989.html
pants180618163,Men Rolled Hem Destroyed Jeans,Men Jeans,Fit Type:Skinny|Style:Casual|Pattern Type:Plain|Pant Type:Straight Leg|Closure Type:Zipper Fly|Waist Type:Low Waist|Pant Length:Long|Fabric:Fabric has some stretch|Season:Summer|Decoration:Ripped|Occasion:Weekend Casual,https://img.ltwebstatic.com/origin/images2_pi/2018/06/15/15290463874133601832.jpg,Denim,"28,29,30,31,32,33,34",Black,pants180618163,2442,https://www.shein.in/Men-Rolled-Hem-Destroyed-Jeans-p-512798-cat-1989.html
pants180618952,Men Bleach Wash Skinny Jeans,Men Jeans,Fit Type:Regular|Style:Casual|Closure Type:Button Fly|Waist Type:Mid Waist|Pant Length:Long|Fabric:Fabric has no stretch|Season:Spring,https://img.ltwebstatic.com/origin/images2_pi/2018/06/18/15292860664092723936.jpg,Denim,"28,29,30,31,32,33,34,36",Blue,pants180618952,814,https://www.shein.in/Men-Bleach-Wash-Skinny-Jeans-p-513198-cat-1989.html
pants180625167,Men Ripped Skinny Jeans,Men Jeans,Fit Type:Skinny|Style:Casual|Closure Type:Button Fly|Waist Type:Low Waist|Pant Length:Long|Fabric:Fabric has no stretch|Decoration:Ripped,https://img.ltwebstatic.com/origin/images2_pi/2018/06/22/15296384612882851445.jpg,Denim,"28,29,30,31,32,33,34",Blue,pants180625167,1998,https://www.shein.in/Men-Ripped-Skinny-Jeans-p-517720-cat-1989.html
pants180709178,Men Destroyed Skinny Jeans,Men Jeans,"Fit Type:Skinny|Style:Casual|Pattern Type:Plain|Pant Type:Tapered/Carrot|Closure Type:Button Fly|Waist Type:Low Waist|Pant Length:Long|Fabric:Fabric has some stretch|Season:Summer|Decoration:Button,Ripped|Occasion:Weekend Casual",https://img.ltwebstatic.com/origin/images2_pi/2018/07/06/1530858242245017174.jpg,Denim,"27,28,29,30,31,32,33,34,36",Black,pants180709178,1924,https://www.shein.in/Men-Destroyed-Skinny-Jeans-p-530163-cat-1989.html
