ID,URL
1,https://www.shein.in/Men-Rolled-Hem-Wash-Destroyed-Jeans-p-515000-cat-1989.html
2,https://www.shein.in/Men-Rolled-Hem-Destroyed-Jeans-p-512804-cat-1989.html
3,https://www.shein.in/Men-Letter-Print-Jeans-p-512802-cat-1989.html
4,https://www.shein.in/Men-Rolled-Hem-Destroyed-Jeans-p-517721-cat-1989.html
5,https://www.shein.in/Men-Paint-Splatter-Destroyed-Jeans-p-517726-cat-1989.html
6,https://www.shein.in/Men-Paint-Splatter-Patched-Jeans-p-517724-cat-1989.html
7,https://www.shein.in/Men-Rolled-Hem-Destroyed-Jeans-p-512798-cat-1989.html
8,https://www.shein.in/Men-Bleach-Wash-Skinny-Jeans-p-513198-cat-1989.html
9,https://www.shein.in/Men-Ripped-Skinny-Jeans-p-517720-cat-1989.html
10,https://www.shein.in/Men-Destroyed-Skinny-Jeans-p-530163-cat-1989.html
